id,description,amount,category,merchant,carbon_kg,date,confidence
1223,Whole Foods #7026 NY,48.37,Food,Whole Foods,12.52,2025-02-08,0.8588486704656677
1224,Safeway #4661,36.4,Food,Safeway,9.94,2024-11-07,0.8756618760212952
1225,Netflix #1005,76.87,Entertainment,Netflix,7.17,2025-04-07,0.7510149672747221
1226,ConEd Utility #9944,185.71,Energy,ConEd Utility,89.0,2025-01-24,0.748213537776379
1227,Uber #7095 CA,24.36,Transportation,Uber,22.41,2024-12-13,0.7467056418754159
1228,ConEd Utility #3737,151.33,Energy,ConEd Utility,63.52,2024-12-17,0.8833050063577961
1229,Amazon #1780,24.21,Shopping,Amazon,4.11,2025-05-08,0.712342741736557
1230,ConEd Utility #7298 TX,267.32,Energy,ConEd Utility,100.01,2024-09-12,0.7102237701533675
1231,McDonalds #3220 TX,120.55,Food,McDonalds,32.0,2024-09-20,0.9121013250172905
1232,Best Buy #1982,460.46,Shopping,Best Buy,97.4,2024-11-09,0.9307394776566446
1233,Whole Foods #7095 NY,72.98,Food,Whole Foods,25.0,2024-12-04,0.7142708723348878
1234,Starbucks #6114,93.87,Food,Starbucks,33.42,2024-08-15,0.8119784545348987
1235,Apple Store #7066,481.98,Shopping,Apple Store,84.54,2024-11-01,0.7092308283589172
1236,Amazon #1029,237.9,Shopping,Amazon,48.6,2025-03-23,0.8887809817882429
1237,AMC Theaters #2184 TX,70.48,Entertainment,AMC Theaters,7.63,2025-04-19,0.7582878301582093
1238,Spotify #4693 NY,27.31,Entertainment,Spotify,2.25,2024-09-25,0.982277097676785
1239,Lyft #5173,103.35,Transportation,Lyft,91.06,2024-11-08,0.808604556442199
1240,Target #9129,460.16,Shopping,Target,102.84,2025-04-21,0.9625581880889384
1241,Best Buy #7006,141.91,Shopping,Best Buy,27.99,2025-03-28,0.716458187974653
1242,ConEd Utility #4191 NY,115.33,Energy,ConEd Utility,41.16,2025-03-05,0.7914408633589183
1243,AMC Theaters #9024,53.57,Entertainment,AMC Theaters,5.65,2025-04-09,0.825052635130759
1244,Spotify #8196,39.39,Entertainment,Spotify,4.27,2024-07-19,0.7721715269895726
1245,Netflix #4614,45.25,Entertainment,Netflix,5.37,2024-07-14,0.9334452477583502
1246,Netflix #5924 TX,52.24,Entertainment,Netflix,4.65,2024-10-03,0.705374164238075
1247,Subway #7164,130.75,Food,Subway,43.9,2024-12-05,0.735302046251345
1248,Duke Energy #3335,298.8,Energy,Duke Energy,134.39,2025-06-20,0.8072355053871582
1249,McDonalds #8841,149.5,Food,McDonalds,40.95,2024-11-25,0.7337071571196269
1250,Duke Energy #4313,251.39,Energy,Duke Energy,113.38,2025-04-05,0.7235594618711538
1251,McDonalds #5215,65.14,Food,McDonalds,18.0,2024-07-31,0.9371362194183923
1252,Apple Store #6744 NY,296.02,Shopping,Apple Store,65.12,2024-08-26,0.9797763939666223
1253,Netflix #7313,99.91,Entertainment,Netflix,8.85,2024-10-09,0.8560951291898139
1254,Target #4122,436.16,Shopping,Target,95.77,2025-06-03,0.8255946815316149
1255,Delta Airlines #5588 TX,29.19,Transportation,Delta Airlines,22.75,2025-02-20,0.7881749305758448
1256,PG&E Electric #1245 CA,84.19,Energy,PG&E Electric,35.54,2024-12-21,0.7268409052533188
1257,Netflix #2874,13.15,Entertainment,Netflix,1.16,2025-05-16,0.9703724790009575
1258,AMC Theaters #3274,75.36,Entertainment,AMC Theaters,7.22,2024-11-18,0.7692073379110639
1259,PG&E Electric #7187 TX,128.97,Energy,PG&E Electric,46.62,2025-01-30,0.9551713665732615
1260,AMC Theaters #6321 CA,37.18,Entertainment,AMC Theaters,3.64,2025-03-17,0.9541020110770494
1261,Shell Gas Station #6768,181.63,Transportation,Shell Gas Station,124.24,2025-02-05,0.7308832941953228
1262,AMC Theaters #7016,79.13,Entertainment,AMC Theaters,7.01,2024-07-01,0.7096387701767127
1263,ConEd Utility #6759,244.97,Energy,ConEd Utility,97.14,2024-11-05,0.9872848796473134
1264,PG&E Electric #1868 TX,136.38,Energy,PG&E Electric,49.52,2024-12-18,0.8165683865324804
1265,PG&E Electric #5805,52.75,Energy,PG&E Electric,19.42,2024-09-13,0.9018030731001171
1266,Uber #6548 CA,102.84,Transportation,Uber,66.95,2024-06-24,0.9572930015615193
1267,PG&E Electric #5331,221.03,Energy,PG&E Electric,88.53,2024-09-05,0.8681241955150066
1268,AMC Theaters #7353 TX,79.57,Entertainment,AMC Theaters,7.09,2024-11-11,0.7380342043904823
1269,Subway #4957 CA,102.24,Food,Subway,33.04,2025-06-17,0.8456410892068823
1270,Chevron #8736,20.03,Transportation,Chevron,13.09,2024-09-06,0.9389293427474341
1271,Shell Gas Station #6495,139.7,Transportation,Shell Gas Station,127.1,2025-04-17,0.9642142300504719
1272,Delta Airlines #8455 NY,85.83,Transportation,Delta Airlines,59.69,2025-02-28,0.834774721209244
1273,AMC Theaters #2351,8.05,Entertainment,AMC Theaters,0.75,2025-03-22,0.7399580650836444
1274,Apple Store #5248 NY,382.5,Shopping,Apple Store,72.67,2024-10-22,0.8705584964169523
1275,Target #2591,147.62,Shopping,Target,28.28,2025-03-23,0.7764973698961091
1276,McDonalds #2048,149.96,Food,McDonalds,49.14,2025-01-15,0.8589981637177658
1277,Shell Gas Station #5191,196.52,Transportation,Shell Gas Station,166.75,2024-10-15,0.721020498387261
1278,AMC Theaters #5746 TX,17.82,Entertainment,AMC Theaters,1.84,2024-09-02,0.7254232606779533
1279,Apple Store #7474,233.09,Shopping,Apple Store,51.7,2025-01-09,0.8553682510474047
1280,Uber #7080 NY,166.66,Transportation,Uber,126.5,2025-01-23,0.8986776524730491
1281,Starbucks #2657,74.5,Food,Starbucks,24.04,2024-12-01,0.7959447867959941
1282,Lyft #2218 CA,36.92,Transportation,Lyft,27.12,2024-07-06,0.9098198845210326
1283,Netflix #1850,14.37,Entertainment,Netflix,1.43,2025-05-28,0.7861798332150927
1284,ConEd Utility #4741,183.91,Energy,ConEd Utility,71.47,2025-02-17,0.8178185041396893
1285,AMC Theaters #9406,75.56,Entertainment,AMC Theaters,8.47,2024-07-30,0.9742140423276948
1286,Subway #4498 NY,53.01,Food,Subway,18.93,2025-05-01,0.9043004609321519
1287,Whole Foods #7468,16.76,Food,Whole Foods,4.4,2025-03-07,0.7766704806976377
1288,Apple Store #9506,452.11,Shopping,Apple Store,97.81,2025-05-01,0.8275997984437226
1289,PG&E Electric #2736,72.96,Energy,PG&E Electric,25.99,2024-09-03,0.8127510640477428
1290,Netflix #7981,22.33,Entertainment,Netflix,2.35,2024-12-05,0.9405611351675671
1291,AMC Theaters #5257,88.86,Entertainment,AMC Theaters,8.34,2025-05-18,0.8090340312233368
1292,ConEd Utility #3778 TX,62.45,Energy,ConEd Utility,20.5,2025-05-25,0.9848971881372555
1293,Uber #8194,30.85,Transportation,Uber,19.93,2025-02-18,0.9322265789356533
1294,Lyft #4930,35.86,Transportation,Lyft,28.27,2025-05-25,0.9169536107612087
1295,Uber #7846,163.26,Transportation,Uber,136.53,2025-01-11,0.7552874860008725
1296,PG&E Electric #7117 NY,97.46,Energy,PG&E Electric,35.24,2024-07-01,0.8527836243234871
1297,Spotify #8256,32.04,Entertainment,Spotify,3.08,2024-07-03,0.7251405286534249
1298,Uber #6815,195.53,Transportation,Uber,175.34,2025-02-23,0.9105298033181288
1299,Target #8178,19.88,Shopping,Target,3.21,2025-03-22,0.8656546066352471
1300,Best Buy #2967,173.79,Shopping,Best Buy,31.39,2024-09-13,0.9807608991034427
1301,Spotify #3119,31.98,Entertainment,Spotify,2.71,2025-03-03,0.9035314113138212
1302,Duke Energy #9534,122.38,Energy,Duke Energy,40.19,2024-11-02,0.8712491073551746
1303,Duke Energy #4221 CA,63.24,Energy,Duke Energy,29.55,2025-06-12,0.8488061465710532
1304,Best Buy #1845,393.93,Shopping,Best Buy,92.21,2024-06-26,0.9318260983910034
1305,Chevron #5746,164.56,Transportation,Chevron,119.1,2025-05-13,0.7915180766765448
1306,PG&E Electric #1234 TX,163.1,Energy,PG&E Electric,64.69,2024-10-21,0.9965693124187592
1307,Apple Store #2920,72.89,Shopping,Apple Store,15.96,2025-04-20,0.8092469940177428
1308,Target #6030,165.32,Shopping,Target,30.86,2025-04-22,0.7954223966426472
1309,Safeway #1191,52.02,Food,Safeway,14.64,2025-03-25,0.7932118362421098
1310,Spotify #9014,78.54,Entertainment,Spotify,8.93,2024-11-19,0.94036961966536
1311,Chevron #1697,135.11,Transportation,Chevron,129.69,2025-06-20,0.7516749793872093
1312,PG&E Electric #8619,248.49,Energy,PG&E Electric,119.06,2024-07-08,0.873565889354252
1313,PG&E Electric #2880 CA,255.21,Energy,PG&E Electric,97.14,2024-08-29,0.9001859269670163
1314,Subway #5930,23.82,Food,Subway,7.4,2025-05-21,0.9429794687068087
1315,Target #7581,380.98,Shopping,Target,84.88,2024-07-13,0.9065027092860681
1316,Uber #5564,101.62,Transportation,Uber,85.75,2024-10-23,0.9857608599549266
1317,Netflix #2344,79.56,Entertainment,Netflix,6.77,2025-05-19,0.7810043037814722
1318,Delta Airlines #9528,169.01,Transportation,Delta Airlines,126.77,2025-01-22,0.8051467677325016
1319,Netflix #1144 NY,26.44,Entertainment,Netflix,3.1,2025-04-15,0.9626269667377291
1320,Subway #9728,39.19,Food,Subway,11.82,2025-03-15,0.7742471640101815
1321,Target #6225,26.7,Shopping,Target,4.79,2024-09-24,0.8585269681917105
1322,ConEd Utility #3449,251.37,Energy,ConEd Utility,87.95,2025-01-25,0.7381670012369645
1323,Chevron #8487,152.7,Transportation,Chevron,137.82,2024-08-25,0.766021435058863
1324,ConEd Utility #6070 NY,154.72,Energy,ConEd Utility,58.32,2024-11-09,0.9203989324608969
1325,Best Buy #2116,48.13,Shopping,Best Buy,10.63,2024-10-11,0.8821021502771884
1326,Whole Foods #5891,39.02,Food,Whole Foods,9.56,2024-12-17,0.8103324380547886
1327,Uber #9294,29.98,Transportation,Uber,23.05,2024-06-26,0.7647336653860743
1328,AMC Theaters #9808 TX,44.96,Entertainment,AMC Theaters,4.69,2025-01-02,0.9822264101451956
1329,Apple Store #8863,420.85,Shopping,Apple Store,93.51,2024-09-08,0.7612027051417635
1330,Target #4306,288.99,Shopping,Target,46.25,2025-03-14,0.9085680074730031
1331,Whole Foods #1476,101.0,Food,Whole Foods,28.91,2025-01-28,0.7371819580319435
1332,Best Buy #6022,432.42,Shopping,Best Buy,88.13,2024-12-16,0.9102680793636799
1333,Delta Airlines #2442,93.63,Transportation,Delta Airlines,69.19,2025-05-30,0.8232320371596467
1334,Spotify #3838,82.77,Entertainment,Spotify,7.04,2024-10-30,0.8375042782398779
1335,Starbucks #6528,107.01,Food,Starbucks,26.77,2024-12-31,0.7067060611656599
1336,Target #6747 TX,72.03,Shopping,Target,13.24,2025-01-27,0.7530267530784638
1337,ConEd Utility #8182 CA,175.8,Energy,ConEd Utility,67.09,2024-10-14,0.724140774492845
1338,Subway #8407 TX,14.59,Food,Subway,3.54,2025-02-07,0.859083918316651
1339,PG&E Electric #8173 TX,263.05,Energy,PG&E Electric,87.65,2024-08-22,0.7442874115634114
1340,Delta Airlines #2319,91.88,Transportation,Delta Airlines,74.29,2024-09-15,0.8814283759309723
1341,Amazon #6305,72.5,Shopping,Amazon,15.47,2025-06-18,0.9286525348868677
1342,McDonalds #1708,95.82,Food,McDonalds,23.71,2025-01-03,0.9841199939489707
1343,Lyft #3545,161.07,Transportation,Lyft,123.31,2025-02-11,0.8876339898767822
1344,Best Buy #7829 NY,422.21,Shopping,Best Buy,72.24,2024-06-23,0.9725646246093285
1345,Safeway #5733,134.15,Food,Safeway,34.01,2025-03-23,0.7385086081962928
1346,Starbucks #8360 TX,7.94,Food,Starbucks,2.3,2025-04-01,0.9050928174407189
1347,ConEd Utility #1065,243.18,Energy,ConEd Utility,91.45,2024-12-06,0.9850981973530266
1348,Lyft #5501,40.87,Transportation,Lyft,29.01,2025-03-10,0.9676282816660001
1349,Subway #9500 TX,87.57,Food,Subway,21.07,2025-06-17,0.7482317181743584
1350,ConEd Utility #3080,259.38,Energy,ConEd Utility,113.09,2024-09-08,0.7340902677248831
1351,Target #5741 CA,67.5,Shopping,Target,10.93,2025-02-11,0.7766597724536831
1352,Chevron #6193,166.62,Transportation,Chevron,126.51,2025-04-28,0.7252915623325294
1353,ConEd Utility #3551,183.2,Energy,ConEd Utility,75.58,2024-08-26,0.8412163654463923
1354,Duke Energy #2576,52.76,Energy,Duke Energy,23.71,2025-04-03,0.9872492982108652
1355,Subway #2852 CA,80.73,Food,Subway,22.18,2024-11-02,0.7062984551057976
1356,AMC Theaters #3528 NY,24.64,Entertainment,AMC Theaters,2.78,2025-05-06,0.7677159235149096
1357,Shell Gas Station #1392,120.32,Transportation,Shell Gas Station,80.99,2025-03-26,0.8946231378981265
1358,Uber #6635,49.89,Transportation,Uber,41.39,2024-08-19,0.7474268372747518
1359,Amazon #4319 TX,484.66,Shopping,Amazon,112.3,2025-06-15,0.9997548560482497
1360,Amazon #9962,103.34,Shopping,Amazon,23.97,2025-04-16,0.7478494174413062
1361,Shell Gas Station #4323 CA,93.7,Transportation,Shell Gas Station,89.06,2025-04-24,0.8441060398539991
1362,Uber #8656,181.06,Transportation,Uber,145.27,2024-07-01,0.7044119829735568
1363,PG&E Electric #5858 CA,280.25,Energy,PG&E Electric,121.18,2025-02-28,0.9789769280061942
1364,ConEd Utility #1872,134.11,Energy,ConEd Utility,60.56,2025-02-06,0.8187955626582101
1365,Netflix #2547,91.83,Entertainment,Netflix,7.74,2024-09-24,0.9905643505741925
1366,Lyft #1134 TX,56.17,Transportation,Lyft,47.42,2025-06-17,0.7195967316474965
1367,Netflix #6598 CA,12.01,Entertainment,Netflix,1.13,2025-03-11,0.8204554613402024
1368,Shell Gas Station #7936,89.79,Transportation,Shell Gas Station,70.53,2025-04-03,0.8828292914460532
1369,Chevron #3019,172.79,Transportation,Chevron,136.62,2024-11-15,0.7665619545147919
1370,McDonalds #6416 CA,58.99,Food,McDonalds,14.4,2024-10-02,0.7885773568248521
1371,Whole Foods #9826 NY,87.36,Food,Whole Foods,24.33,2024-09-21,0.963481501401602
1372,AMC Theaters #5376,91.31,Entertainment,AMC Theaters,10.46,2025-05-29,0.8090850796965339
1373,Safeway #4691,79.31,Food,Safeway,22.45,2024-08-31,0.8010286694662432
1374,ConEd Utility #2451,251.77,Energy,ConEd Utility,93.23,2024-11-12,0.7311773377070255
1375,ConEd Utility #7480,244.19,Energy,ConEd Utility,113.88,2025-02-06,0.7214442388593769
1376,Netflix #2431,45.59,Entertainment,Netflix,5.36,2025-03-13,0.7755553584194574
1377,ConEd Utility #5416,138.54,Energy,ConEd Utility,64.24,2025-02-03,0.9829839273969445
1378,Best Buy #5602 NY,354.19,Shopping,Best Buy,60.48,2025-04-16,0.8600175591995665
1379,Apple Store #5390,89.31,Shopping,Apple Store,14.34,2024-08-07,0.7810072871703706
1380,ConEd Utility #4083,162.41,Energy,ConEd Utility,53.11,2024-10-02,0.7435558369826611
1381,Amazon #4956,191.58,Shopping,Amazon,44.7,2025-02-27,0.9316063570296348
1382,Lyft #3096,86.4,Transportation,Lyft,55.8,2024-07-17,0.8776090345880291
1383,Target #5282,250.44,Shopping,Target,43.76,2024-11-21,0.8289880789034593
1384,AMC Theaters #6652,55.28,Entertainment,AMC Theaters,4.53,2025-06-07,0.7656321577324567
1385,PG&E Electric #3317 CA,127.61,Energy,PG&E Electric,55.43,2025-04-23,0.9312066826391332
1386,Duke Energy #9955,196.73,Energy,Duke Energy,89.37,2025-03-17,0.8257313881654975
1387,Netflix #8517,87.97,Entertainment,Netflix,9.38,2025-04-02,0.7023823514369836
1388,Netflix #3782,31.45,Entertainment,Netflix,3.27,2025-03-09,0.9212535457771627
1389,Subway #9478,135.1,Food,Subway,36.09,2025-05-23,0.8983324551679829
1390,Netflix #5012,31.24,Entertainment,Netflix,3.09,2024-11-29,0.8584247530153687
1391,Shell Gas Station #5844,61.15,Transportation,Shell Gas Station,41.72,2024-09-24,0.9149258618293612
1392,Whole Foods #3003,121.03,Food,Whole Foods,37.32,2024-10-26,0.7583408312231803
1393,Best Buy #1101 TX,431.39,Shopping,Best Buy,92.65,2024-11-21,0.8397115699679228
1394,Netflix #2125,30.4,Entertainment,Netflix,3.38,2025-06-04,0.7994979853135558
1395,Shell Gas Station #1918 CA,33.27,Transportation,Shell Gas Station,22.76,2025-06-17,0.962060347987689
1396,Chevron #3467,173.45,Transportation,Chevron,157.45,2025-03-22,0.7515365329218696
1397,Whole Foods #4678,147.37,Food,Whole Foods,38.01,2025-02-21,0.7421873921038583
1398,Spotify #3925,29.1,Entertainment,Spotify,2.96,2025-02-13,0.8753798745119319
1399,Best Buy #9949 TX,351.54,Shopping,Best Buy,73.12,2024-10-15,0.8069261667661753
1400,Netflix #4747 TX,80.76,Entertainment,Netflix,9.53,2024-11-21,0.9137317218332293
1401,Target #6176 CA,405.74,Shopping,Target,65.72,2024-11-21,0.7099236061907349
1402,McDonalds #4284,110.05,Food,McDonalds,37.61,2024-11-15,0.7962441467244835
1403,Delta Airlines #4464,47.13,Transportation,Delta Airlines,43.64,2024-11-29,0.8582656581931557
1404,Delta Airlines #1490,80.86,Transportation,Delta Airlines,53.93,2024-10-23,0.9497578324749177
1405,Safeway #7969,92.08,Food,Safeway,26.46,2025-05-08,0.920794111824004
1406,Netflix #5454 NY,32.69,Entertainment,Netflix,3.51,2024-11-29,0.8406741848739431
1407,Whole Foods #6468,85.49,Food,Whole Foods,26.23,2025-03-16,0.8445701898099127
1408,Uber #5714,66.35,Transportation,Uber,57.49,2025-03-23,0.7055797385465877
1409,Delta Airlines #7452 NY,52.98,Transportation,Delta Airlines,45.56,2025-02-12,0.7916684170966719
1410,Spotify #2664,65.29,Entertainment,Spotify,5.82,2024-08-28,0.9957746067899423
1411,Delta Airlines #7472,74.97,Transportation,Delta Airlines,71.89,2024-09-05,0.7139614434749809
1412,ConEd Utility #7947,101.18,Energy,ConEd Utility,43.4,2024-10-27,0.8997764733024307
1413,PG&E Electric #7906,290.05,Energy,PG&E Electric,126.04,2024-11-26,0.8980891472285263
1414,PG&E Electric #6692 CA,192.84,Energy,PG&E Electric,65.8,2024-11-10,0.9692615143571554
1415,Best Buy #6477 TX,118.8,Shopping,Best Buy,22.84,2025-03-07,0.9327374461654355
1416,Chevron #5512,196.15,Transportation,Chevron,136.48,2025-04-09,0.9541326269249095
1417,Lyft #9234 NY,111.89,Transportation,Lyft,102.83,2024-09-15,0.715973789383411
1418,Safeway #5456,18.06,Food,Safeway,5.06,2024-12-15,0.9851392661877079
1419,Spotify #3732,21.87,Entertainment,Spotify,2.41,2025-02-14,0.8956439344094023
1420,AMC Theaters #2424 CA,68.55,Entertainment,AMC Theaters,6.64,2024-12-19,0.7115768910760233
1421,Spotify #4816,39.35,Entertainment,Spotify,4.67,2025-01-30,0.8118582702725179
1422,Spotify #4220 NY,62.41,Entertainment,Spotify,6.89,2024-08-05,0.9591608669489016
1423,Target #8297,239.35,Shopping,Target,52.36,2024-07-29,0.961889940789824
1424,Netflix #4039,57.62,Entertainment,Netflix,4.78,2024-07-19,0.7920844511400323
1425,Uber #1459 CA,78.53,Transportation,Uber,59.12,2024-10-15,0.7504348258493378
1426,ConEd Utility #3551 CA,130.21,Energy,ConEd Utility,46.2,2025-01-07,0.921618133382463
1427,Spotify #4792,47.05,Entertainment,Spotify,4.09,2024-09-26,0.880374800446216
1428,Spotify #7158,28.65,Entertainment,Spotify,2.69,2025-03-27,0.9416027605728448
1429,Subway #1103,48.87,Food,Subway,16.32,2024-09-12,0.9218374348988497
1430,PG&E Electric #3930,171.88,Energy,PG&E Electric,64.99,2025-01-20,0.8533077786319232
1431,Delta Airlines #5398 NY,21.06,Transportation,Delta Airlines,16.49,2024-11-23,0.9052180091789117
1432,Lyft #7594,113.14,Transportation,Lyft,103.82,2024-12-07,0.9079025249765379
1433,Apple Store #9132 TX,494.18,Shopping,Apple Store,110.81,2024-11-05,0.9613472772725575
1434,Spotify #7230,29.39,Entertainment,Spotify,3.31,2025-01-23,0.7130627305145433
1435,Shell Gas Station #6514 NY,129.94,Transportation,Shell Gas Station,96.17,2024-09-26,0.9160113189056669
1436,PG&E Electric #5520 CA,130.62,Energy,PG&E Electric,55.67,2024-08-07,0.7383943192635266
1437,Lyft #6892,161.97,Transportation,Lyft,109.86,2025-05-28,0.7638198567105011
1438,Subway #9303,139.94,Food,Subway,37.92,2025-03-10,0.8972173477529628
1439,Shell Gas Station #8890 CA,114.73,Transportation,Shell Gas Station,108.14,2024-07-15,0.7013909760138787
1440,ConEd Utility #5138 TX,231.21,Energy,ConEd Utility,95.51,2024-08-19,0.9269508416941361
1441,Apple Store #5014,294.42,Shopping,Apple Store,54.22,2025-01-10,0.7294225167648508
1442,Chevron #5095,105.62,Transportation,Chevron,99.94,2024-09-18,0.913490130832705
1443,Netflix #4978,18.59,Entertainment,Netflix,2.2,2024-07-12,0.7047395144339201
1444,Netflix #3466,48.06,Entertainment,Netflix,4.48,2024-10-22,0.8302256783143377
1445,Whole Foods #7232,112.03,Food,Whole Foods,35.49,2024-07-26,0.9430160691930592
1446,Amazon #6366 NY,266.35,Shopping,Amazon,49.69,2024-10-18,0.8715597134916557
1447,Netflix #2580,10.38,Entertainment,Netflix,1.03,2025-01-02,0.774574877583661
1448,Netflix #8620 TX,37.89,Entertainment,Netflix,4.24,2024-10-14,0.9570047110466373
1449,Duke Energy #9094,106.46,Energy,Duke Energy,49.45,2025-02-06,0.8729400764948563
1450,McDonalds #3216 NY,53.77,Food,McDonalds,18.17,2025-03-06,0.9521208042187499
1451,Whole Foods #7884,10.57,Food,Whole Foods,3.67,2025-06-09,0.8457220130348855
1452,Delta Airlines #4944,176.27,Transportation,Delta Airlines,138.46,2025-01-01,0.9033372192833975
1453,Starbucks #6406,113.75,Food,Starbucks,38.32,2024-11-15,0.7941245938134052
1454,ConEd Utility #9044,162.68,Energy,ConEd Utility,67.53,2024-06-22,0.8640578328331912
1455,ConEd Utility #5315,198.21,Energy,ConEd Utility,89.89,2025-04-21,0.9239381683710288
1456,Spotify #9479 CA,41.57,Entertainment,Spotify,4.62,2025-01-10,0.9880751261656233
1457,McDonalds #4049,12.71,Food,McDonalds,3.7,2025-05-26,0.7206366391989235
1458,Netflix #2508,52.07,Entertainment,Netflix,4.24,2025-06-10,0.9897523000610604
1459,Netflix #4384,78.71,Entertainment,Netflix,7.24,2025-04-23,0.8960174810857012
1460,Whole Foods #9596,86.31,Food,Whole Foods,25.2,2025-06-18,0.9231254924181111
1461,Whole Foods #8686 CA,112.45,Food,Whole Foods,28.55,2024-08-14,0.8895431132238928
1462,Shell Gas Station #4699 TX,137.28,Transportation,Shell Gas Station,113.07,2025-02-07,0.9119113860525094
1463,Target #4698,215.29,Shopping,Target,41.61,2025-01-11,0.7761121280983391
1464,Whole Foods #6283,38.89,Food,Whole Foods,9.78,2024-11-22,0.7252813813307163
1465,Uber #7633,142.81,Transportation,Uber,109.02,2024-08-27,0.7588846533722515
1466,Starbucks #2466,93.0,Food,Starbucks,29.98,2025-04-16,0.9716922729421495
1467,Shell Gas Station #2130 TX,165.01,Transportation,Shell Gas Station,122.23,2024-10-23,0.9782160019468216
1468,Delta Airlines #5976,185.41,Transportation,Delta Airlines,167.24,2025-01-10,0.9768591572385262
1469,PG&E Electric #2324,271.06,Energy,PG&E Electric,96.72,2024-07-01,0.8191838959682491
1470,Starbucks #9515,124.4,Food,Starbucks,32.03,2024-06-28,0.7125930843912599
1471,Starbucks #7430,40.45,Food,Starbucks,13.65,2025-05-07,0.7962148420139878
1472,Duke Energy #9952,80.22,Energy,Duke Energy,28.09,2024-08-12,0.788721644684804
1473,Delta Airlines #8817,104.31,Transportation,Delta Airlines,96.52,2025-01-11,0.7697637993603057
1474,Shell Gas Station #6034,65.14,Transportation,Shell Gas Station,47.43,2024-12-10,0.770660629284036
1475,ConEd Utility #8950,202.24,Energy,ConEd Utility,81.94,2025-05-07,0.8878769852381598
1476,Shell Gas Station #1536 TX,60.88,Transportation,Shell Gas Station,39.69,2024-08-31,0.7092315487202561
1477,Delta Airlines #6054,26.46,Transportation,Delta Airlines,18.11,2025-03-27,0.7934278657708976
1478,Target #7425 CA,200.74,Shopping,Target,33.49,2025-01-24,0.8361956330118627
1479,ConEd Utility #4725,166.41,Energy,ConEd Utility,54.9,2025-03-20,0.7075157874885681
1480,Whole Foods #2155,70.55,Food,Whole Foods,20.69,2024-12-06,0.7771431101014887
1481,Netflix #7308,44.55,Entertainment,Netflix,5.18,2024-09-18,0.8831327443274724
1482,ConEd Utility #9824,177.96,Energy,ConEd Utility,69.37,2025-03-08,0.8779499539075326
1483,Safeway #3681,137.2,Food,Safeway,36.05,2025-01-29,0.7108395056959975
1484,PG&E Electric #3921,180.26,Energy,PG&E Electric,59.62,2025-02-20,0.9705522591267426
1485,Lyft #3061,88.89,Transportation,Lyft,69.11,2024-07-02,0.8269732780501552
1486,McDonalds #2055,142.81,Food,McDonalds,47.31,2025-05-19,0.9865112084691006
1487,Spotify #1887,70.83,Entertainment,Spotify,6.91,2025-05-06,0.8083424941752363
1488,Delta Airlines #8375,194.23,Transportation,Delta Airlines,181.24,2024-11-25,0.8270510020394916
1489,Subway #5567,97.69,Food,Subway,25.12,2024-08-14,0.8809352318887002
1490,Whole Foods #8353,38.76,Food,Whole Foods,11.13,2024-10-20,0.7666066612124218
1491,Duke Energy #1380,247.08,Energy,Duke Energy,93.56,2024-12-14,0.7053888735905643
1492,Duke Energy #1944 TX,130.42,Energy,Duke Energy,50.05,2025-02-10,0.750911173331122
1493,Spotify #6388,71.93,Entertainment,Spotify,7.13,2024-07-19,0.8063514002513276
1494,PG&E Electric #9991,217.93,Energy,PG&E Electric,96.92,2025-01-24,0.8687204559944529
1495,Lyft #3892 CA,158.17,Transportation,Lyft,129.89,2024-10-12,0.8493825746277809
1496,Lyft #9839,118.0,Transportation,Lyft,104.74,2025-04-12,0.8472738180765446
1497,Target #8681,436.71,Shopping,Target,80.0,2024-11-13,0.8280736869295862
1498,Delta Airlines #8977,130.01,Transportation,Delta Airlines,104.5,2024-10-26,0.8973693590725753
1499,Amazon #5581,13.21,Shopping,Amazon,3.16,2025-06-10,0.8532404208655311
1500,Subway #6873 CA,113.84,Food,Subway,28.51,2025-01-23,0.8639190195544268
1501,Duke Energy #2457,124.34,Energy,Duke Energy,51.05,2025-04-26,0.9691916308402017
1502,Lyft #9584 NY,117.37,Transportation,Lyft,108.64,2024-07-01,0.7312753023165973
1503,ConEd Utility #3240,119.58,Energy,ConEd Utility,46.76,2025-01-02,0.9453658898475841
1504,Amazon #9621,253.97,Shopping,Amazon,54.76,2025-06-11,0.8601673108215868
1505,Target #5952,45.03,Shopping,Target,9.42,2025-03-21,0.8686754995366684
1506,Amazon #7194,380.46,Shopping,Amazon,70.91,2024-11-09,0.8067333507979435
1507,Apple Store #7565 NY,71.97,Shopping,Apple Store,13.77,2024-08-09,0.9937373665699547
1508,Shell Gas Station #2366,140.43,Transportation,Shell Gas Station,105.22,2024-07-05,0.9809629314450414
1509,Target #9426,11.1,Shopping,Target,2.04,2024-11-11,0.9250379043662428
1510,Chevron #3801,189.9,Transportation,Chevron,147.62,2024-12-01,0.7747632693015701
1511,AMC Theaters #9599 TX,33.82,Entertainment,AMC Theaters,3.1,2025-03-24,0.830330246484162
1512,Spotify #7198,48.77,Entertainment,Spotify,4.85,2025-06-12,0.9223095786495976
1513,Netflix #2195,88.16,Entertainment,Netflix,8.04,2025-03-30,0.9819475901814346
1514,Shell Gas Station #1476,168.2,Transportation,Shell Gas Station,116.91,2024-10-25,0.8123132357261105
